3 ABCDEFGHIJK
21 fkjdlsfhjsdlkfjsdlkfjsdlkfjdsrewoiru29fdsilkfj932
42 dfhdkjfhdskjfhdsjkfdshjfdhfkjdshfkjdsfhdksjfweo8ifhewf89432
19 kclsdjfksdlfjsdlkfjdsfw329oruewoifjdslkfdf932dfjhklsvjfhd
55 kdjsfldsjflkdfjdskfjdslkfjweioufeoijflkdwejfe2wruoiweufwekfhd
10 jsdafhdsfhdsfdsfkjdsfhlkdjfhdfdskjfsd
31 jfdashfdjksfhfe93tfivvjdfg934r4329ugfi2493ru9fur2039ruefoi
36 fjsdfhdsjkfhsdf3o4irouiwrefu43298ruoit3290rfudkgrejg439tufrl
9 jfdshfkjdshfdsjkfhsdjkfhsdkjfhds
28 fjkhdsfkjhdsjfhdsjkfhsdfhsfkhsdkjfhdskjfhdsjfhdslkfjhdslk
